name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Thassa's Devourer,"Thassa's Devourer	{4}{U}
Enchantment Creature — Elemental
Constellation — Whenever this creature or another enchantment you control enters, target player mills two cards.
2/6
",https://scryfall.com/card/jou/53/thassas-devourer,https://cards.scryfall.io/large/front/d/4/d4ebd8c0-bb03-434d-b669-d9b35d07b2c6.jpg?1593095570,塔萨的吞噬兽,塔薩的吞噬獸,Dévoreur de Thassa,Thassas Verschlinger,Divoratrice di Thassa,タッサの貪り食い,타사의 탐식자,Devoradora de Tassa,Пожиратель Тассы,Devoradora de Tassa
Thassa's Ire,"Thassa's Ire	{U}
Enchantment
{3}{U}: You may tap or untap target creature.

",https://scryfall.com/card/jou/54/thassas-ire,https://cards.scryfall.io/large/front/4/c/4cc6245f-c60f-4674-8c6d-24fe3b78e00e.jpg?1593095578,塔萨的怒火,塔薩的怒火,Ire de Thassa,Thassas Zorn,Collera di Thassa,タッサの激憤,타사의 분노,Ira de Tassa,Гнев Тассы,Ira de Tassa
Triton Cavalry,"Triton Cavalry	{3}{U}
Creature — Merfolk Soldier
Heroic — Whenever you cast a spell that targets this creature, you may return target enchantment to its owner's hand.
2/4
",https://scryfall.com/card/jou/55/triton-cavalry,https://cards.scryfall.io/large/front/4/b/4b9b6c6b-35f8-4c8a-aa29-ae71d5166121.jpg?1593095587,屈东骑队,屈東騎隊,Cavalerie tritonne,Tritonier-Kavallerie,Cavalleria dei Marinidi,トリトンの騎兵部隊,트리톤 기병,Cavalaria Talassida,Верховые Тритоны,Caballería tritónida
Triton Shorestalker,"Triton Shorestalker	{U}
Creature — Merfolk Rogue
This creature can't be blocked.
1/1
",https://scryfall.com/card/jou/56/triton-shorestalker,https://cards.scryfall.io/large/front/5/1/511bff25-3213-42c4-8abd-9eda49f8dc96.jpg?1712354237,岸袭屈东,岸襲屈東,Pisteur des côtes triton,Tritonier-Küstenschleicher,Marinide Braccacoste,トリトンの岸忍び,트리톤 해안추적자,Talassido Vigia-costa,"Тритон, Береговой Охотник",Vigilacostas tritónido
War-Wing Siren,"War-Wing Siren	{2}{U}
Creature — Siren Soldier
Flying
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.
1/3
",https://scryfall.com/card/jou/57/war-wing-siren,https://cards.scryfall.io/large/front/8/d/8d88c942-3a69-4975-a08d-80405a549beb.jpg?1593095605,战翼塞连,戰翼塞連,Sirène aile-de-guerre,Kriegsschwingen-Sirene,Sirena Alaguerriera,戦争翼のセイレーン,전쟁날개 세이렌,Sirena Asa-de-guerra,Сирена-Воительница,Sirena ala beligerante
Whitewater Naiads,"Whitewater Naiads	{3}{U}{U}
Enchantment Creature — Nymph
Constellation — Whenever this creature or another enchantment you control enters, target creature can't be blocked this turn.
4/4
",https://scryfall.com/card/jou/58/whitewater-naiads,https://cards.scryfall.io/large/front/e/d/ed39a719-8a4b-4749-adeb-74cd82d9b416.jpg?1592710700,湍流水灵,湍流水靈,Naïades des eaux vives,Wildwasser-Najaden,Naiadi delle Rapide,急流のナイアード,급류 나이아드,Náiades das Corredeiras,Наяды Порогов,Náyades de aguablanca
Agent of Erebos,"Agent of Erebos	{3}{B}
Enchantment Creature — Zombie
Constellation — Whenever this creature or another enchantment you control enters, exile target player's graveyard.
2/2
",https://scryfall.com/card/jou/59/agent-of-erebos,https://cards.scryfall.io/large/front/1/e/1e07a595-5579-4d5a-b07c-84239d690459.jpg?1593095620,厄睿柏斯的密探,厄睿柏斯的密探,Agent d'Érébos,Agent des Erebos,Agente di Erebos,エレボスの代行者,에레보스의 하수인,Agente de Érebo,Агент Эреба,Agente de Erebos
Aspect of Gorgon,"Aspect of Gorgon	{2}{B}
Enchantment — Aura
Enchant creature
Enchanted creature gets +1/+3 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy it.)

",https://scryfall.com/card/jou/60/aspect-of-gorgon,https://cards.scryfall.io/large/front/b/e/be8956d0-5502-415d-bead-d8bbddf9871d.jpg?1593095628,蛇发妖外貌,蛇髮妖外貌,Aspect de la gorgone,Gorgoblut,Sembianze della Gorgone,ゴルゴンの血,고르곤의 상,Aspecto de Górgona,Облик Горгоны,Aspecto de gorgona
Bloodcrazed Hoplite,"Bloodcrazed Hoplite	{1}{B}
Creature — Human Soldier
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on it.
Whenever a +1/+1 counter is put on this creature, remove a +1/+1 counter from target creature an opponent controls.
2/1
",https://scryfall.com/card/jou/61/bloodcrazed-hoplite,https://cards.scryfall.io/large/front/f/2/f2a6556b-a4f1-4ff5-8e6e-a47618c8c66e.jpg?1593095634,血狂重装步兵,血狂重裝步兵,Hoplite sanguinaire,Blutrünstiger Hoplit,Oplita Assetato di Sangue,血に狂った重装歩兵,피에 미친 중장보병,Hoplita Sanguinário,Одержимый Кровью Гоплит,Hoplita sanguinario
Brain Maggot,"Brain Maggot	{1}{B}
Enchantment Creature — Insect
When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card until this creature leaves the battlefield.
1/1
",https://scryfall.com/card/jou/62/brain-maggot,https://cards.scryfall.io/large/front/a/c/acdc31d5-6726-453e-94e0-69d2fe9447af.jpg?1593095641,坏脑蛆,壞腦蛆,Ver de cervelle,Hirnmade,Larva Cerebrale,脳蛆,뇌 구더기,Verme Cerebral,Мозговой Червь,Larva cerebral
Cast into Darkness,"Cast into Darkness	{1}{B}
Enchantment — Aura
Enchant creature
Enchanted creature gets -2/-0 and can't block.

",https://scryfall.com/card/jou/63/cast-into-darkness,https://cards.scryfall.io/large/front/0/c/0c1880d4-90c7-46a2-bbc9-d2b52971d11c.jpg?1593095651,没入黑暗,沒入黑暗,Projeter dans les ténèbres,In die Dunkelheit,Gettare nell'Oscurità,闇への投入,암흑에 빠지다,Lançar na Escuridão,Низвержение во Тьму,Lanzar hacia las tinieblas
Cruel Feeding,"Cruel Feeding	{B}
Instant
Strive — This spell costs {2}{B} more to cast for each target beyond the first.
Any number of target creatures each get +1/+0 and gain lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)

",https://scryfall.com/card/jou/64/cruel-feeding,https://cards.scryfall.io/large/front/a/5/a53624ee-2925-4a56-8706-e278db5d963d.jpg?1593095659,残酷进食,殘酷進食,Alimentation cruelle,Grausame Fütterung,Pasto Crudele,残忍な食餌,잔인한 식사,Alimentação Cruel,Жестокая Кормежка,Cena cruel
Dictate of Erebos,"Dictate of Erebos	{3}{B}{B}
Enchantment
Flash
Whenever a creature you control dies, each opponent sacrifices a creature of their choice.

",https://scryfall.com/card/jou/65/dictate-of-erebos,https://cards.scryfall.io/large/front/9/f/9f06db70-95f9-41eb-8e5f-8bc56fd34c09.jpg?1593095668,厄睿柏斯的旨意,厄睿柏斯的旨意,Précepte d'Érébos,Gebot des Erebos,Dettami di Erebos,エレボスの指図,에레보스의 규율,Decreto de Érebo,Веление Эреба,Mandato de Erebos
Doomwake Giant,"Doomwake Giant	{4}{B}
Enchantment Creature — Giant
Constellation — Whenever this creature or another enchantment you control enters, creatures your opponents control get -1/-1 until end of turn.
4/6
",https://scryfall.com/card/jou/66/doomwake-giant,https://cards.scryfall.io/large/front/0/b/0be3f848-ba01-4890-a3a1-ed0dfb564632.jpg?1775941062,唤终巨人,喚終巨人,Géant au sillage funeste,Gigant der Verdammnis,Gigante dalla Scia Funesta,破滅喚起の巨人,파멸을 초래하는 거인,Gigante do Rastro Funesto,Гигант Надвигающегося Рока,Gigante estela de ruina
Dreadbringer Lampads,"Dreadbringer Lampads	{4}{B}
Enchantment Creature — Nymph
Constellation — Whenever this creature or another enchantment you control enters, target creature gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)
4/2
",https://scryfall.com/card/jou/67/dreadbringer-lampads,https://cards.scryfall.io/large/front/f/d/fd0c7359-355b-4808-8959-7155d96c4e86.jpg?1562711887,引怖冥灵,引怖冥靈,Lampades porteuses de l'effroi,Furchtbringer-Lampaden,Lampiadi del Terrore,戦慄運びのランパード,공포를 부르는 램파드,Lâmpades Medonhas,Несущие Ужас Лампады,Lampas portapavor
Extinguish All Hope,"Extinguish All Hope	{4}{B}{B}
Sorcery
Destroy all nonenchantment creatures.

",https://scryfall.com/card/jou/68/extinguish-all-hope,https://cards.scryfall.io/large/front/1/8/1888ac60-a885-43a7-8e95-9523a0213644.jpg?1689997139,浇熄希望,澆熄希望,Détruire toute espérance,Alle Hoffnung auslöschen,Soffocare Ogni Speranza,全希望の消滅,모든 희망의 끝,Extinguir Toda Esperança,Лишение Надежд,Extinguir toda esperanza
Feast of Dreams,"Feast of Dreams	{1}{B}
Instant
Destroy target enchanted creature or enchantment creature.

",https://scryfall.com/card/jou/69/feast-of-dreams,https://cards.scryfall.io/large/front/d/e/de07e21e-c12a-47a6-ad2c-ef6fed343407.jpg?1593095705,幻梦盛宴,幻夢盛宴,Festin de rêves,An Träumen laben,Banchetto di Sogni,夢の饗宴,꿈의 잔치,Banquete de Sonhos,Пожирание Грез,Banquete de sueños
Felhide Petrifier,"Felhide Petrifier	{2}{B}
Creature — Minotaur Warrior
Deathtouch
Other Minotaur creatures you control have deathtouch.
2/3
",https://scryfall.com/card/jou/70/felhide-petrifier,https://cards.scryfall.io/large/front/4/d/4d6cce01-a0cb-4059-a0ad-fbf7d9b998b8.jpg?1593095714,惊怖石化师,驚怖石化師,Pétrificateur Fangepeau,Schauderbalg-Versteinerer,Pietrificatore Velloirsuto,悪魔の皮の石化使い,썩은가죽 석화자,Petrificador Courovil,Скверношкурый Окаменитель,Petrificador pielacre
Font of Return,"Font of Return	{1}{B}
Enchantment
{3}{B}, Sacrifice this enchantment: Return up to three target creature cards from your graveyard to your hand.

",https://scryfall.com/card/jou/71/font-of-return,https://cards.scryfall.io/large/front/c/1/c13eacff-0fd1-4e2e-8213-5bf5fff973c8.jpg?1593095724,转世洗礼池,轉世洗禮池,Fontaine de réapparition,Quell der Wiederkehr,Fonte del Risveglio,回帰の泉,귀환의 세례반,Fonte do Ressurgimento,Источник Возвращения,Fuente del regreso
Gnarled Scarhide,"Gnarled Scarhide	{B}
Enchantment Creature — Minotaur
Bestow {3}{B} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
This creature can't block.
Enchanted creature gets +2/+1 and can't block.
2/1
",https://scryfall.com/card/jou/72/gnarled-scarhide,https://cards.scryfall.io/large/front/0/4/040af9b9-1e94-4dd1-b347-b54b6b9e0275.jpg?1593095738,糙节覆痕怪,糙節覆痕怪,Gangréné noueux,Narbenbalg-Krüppel,Vellosfregiato Deforme,節くれの傷皮持ち,뒤틀린 흉터가죽,Mutilado das Cicatrizes,Покрытый Шрамами Калека,Pielmarcada retorcido
Grim Guardian,"Grim Guardian	{2}{B}
Enchantment Creature — Zombie
Constellation — Whenever this creature or another enchantment you control enters, each opponent loses 1 life.
1/4
",https://scryfall.com/card/jou/73/grim-guardian,https://cards.scryfall.io/large/front/7/3/732b5444-0410-430b-87ca-cf2d9f165bd7.jpg?1593095749,狰狞守卫,猙獰守衛,Sinistre garde,Grimmiger Wächter,Tetro Guardiano,厳かな守護者,음산한 수호자,Guardião Sinistro,Мрачный Хранитель,Guardián siniestro
"King Macar, the Gold-Cursed","King Macar, the Gold-Cursed	{2}{B}{B}
Legendary Creature — Human Noble
Inspired — Whenever King Macar becomes untapped, you may exile target creature. If you do, create a Gold token. (It's an artifact with ""Sacrifice this token: Add one mana of any color."")
2/3
",https://scryfall.com/card/jou/74/king-macar-the-gold-cursed,https://cards.scryfall.io/large/front/f/f/ff5987ab-570a-426c-ae4a-a270fac6b346.jpg?1593095759,点金咒马卡耳王,點金咒馬卡耳王,"Macar, le roi au toucher d'or",König Makar der Goldverfluchte,"Re Macar, il Maledetto dall'Oro",黄金の呪いのマカール王,황금의 저주를 받은 왕 마카르,"Macar, Rei do Toque Maldito","Царь Макарий, Проклятый Золотом","Rey Macar, el maldecido áureo"
Master of the Feast,"Master of the Feast	{1}{B}{B}
Enchantment Creature — Demon
Flying
At the beginning of your upkeep, each opponent draws a card.
5/5
",https://scryfall.com/card/jou/75/master-of-the-feast,https://cards.scryfall.io/large/front/d/5/d528f7a3-0a7b-42e3-8e4f-f1eeab02e23a.jpg?1593095770,盛宴大师,盛宴大師,Maître du festin,Gebieter des Gelages,Signore del Banchetto,饗宴の主,축제의 달인,Mestre do Banquete,Повелитель Пиров,Maestro del festín
Nightmarish End,"Nightmarish End	{2}{B}
Instant
Target creature gets -X/-X until end of turn, where X is the number of cards in your hand.

",https://scryfall.com/card/jou/76/nightmarish-end,https://cards.scryfall.io/large/front/4/b/4bab0e0a-7eb9-4422-a1d4-82cc05b4374d.jpg?1593095779,惊魇终局,驚魘終局,Fin cauchemardesque,Albtraumhaftes Ende,Incubo Mortale,悪夢のような末路,악몽 같은 최후,Fim Aterrador,Кошмарный Конец,Final de pesadilla
Nyx Infusion,"Nyx Infusion	{2}{B}
Enchantment — Aura
Enchant creature
Enchanted creature gets +2/+2 as long as it's an enchantment. Otherwise, it gets -2/-2.

",https://scryfall.com/card/jou/77/nyx-infusion,https://cards.scryfall.io/large/front/1/9/1910d072-1660-4918-a338-d9f87926541d.jpg?1593095788,尼兹灌输,尼茲灌輸,Infusion de Nyx,Nyx-Infusion,Infusione di Nyx,ニクスの注入,닉스 주입,Infusão de Nyx,Вливание Никса,Tisana de Nyx
Pharika's Chosen,"Pharika's Chosen	{B}
Creature — Snake
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
1/1
",https://scryfall.com/card/jou/78/pharikas-chosen,https://cards.scryfall.io/large/front/8/1/8119ce0c-d709-463c-9abc-f7025673ea72.jpg?1593095796,芳瑞卡的精卫,芳瑞卡的精衛,Élue de Pharika,Pharikas Auserwählte,Prescelta di Farika,ファリカに選ばれしもの,파리카의 정예병,Escolhida de Fárica,Избранница Фарики,Elegida de Farika
Returned Reveler,"Returned Reveler	{1}{B}
Creature — Zombie Satyr
When this creature dies, each player mills three cards.
1/3
",https://scryfall.com/card/jou/79/returned-reveler,https://cards.scryfall.io/large/front/9/e/9ea61098-2c6a-48d2-b99f-f3065c67d8e3.jpg?1593095804,转世贪欢者,轉世貪歡者,Fêtard reparu,Wiedergekehrter Hedonist,Risvegliato Dissoluto,蘇りし歓楽者,되살아난 난봉꾼,Festeiro Ressurgido,Возвращенный Гуляка,Juerguista resurgido
Ritual of the Returned,"Ritual of the Returned	{3}{B}
Instant
Exile target creature card from your graveyard. Create a black Zombie creature token. Its power is equal to that card's power and its toughness is equal to that card's toughness.

",https://scryfall.com/card/jou/80/ritual-of-the-returned,https://cards.scryfall.io/large/front/2/0/20bdf00a-e7f1-42f4-997f-388f3b28bf8f.jpg?1593095819,转世者祭礼,轉世者祭禮,Rituel des Reparus,Ritual der Wiedergekehrten,Rituale dei Risvegliati,蘇りし者の儀式,되살아난 자들의 의식,Ritual dos Ressurgidos,Ритуал Возвращенных,Ritual de los Resurgidos
Rotted Hulk,"Rotted Hulk	{3}{B}
Creature — Elemental

2/5
",https://scryfall.com/card/jou/81/rotted-hulk,https://cards.scryfall.io/large/front/1/0/1066644a-ac62-4809-805c-607c645613c5.jpg?1593860941,腐坏巨汉,腐壞巨漢,Carcasse putréfiée,Schiffswrack-Koloss,Carcassa Marcita,腐敗した大男,썩은 거대괴물,Brutamontes Apodrecido,Прогнивший Великан,Titán putrefacto
Silence the Believers,"Silence the Believers	{2}{B}{B}
Instant
Strive — This spell costs {2}{B} more to cast for each target beyond the first.
Exile any number of target creatures and all Auras attached to them.

",https://scryfall.com/card/jou/82/silence-the-believers,https://cards.scryfall.io/large/front/d/6/d6dc2bd1-a980-4eab-8bb3-1ce28c3f9ef4.jpg?1593095838,信者噤声,信者噤聲,Réduire les croyants au silence,Zum Schweigen bringen,Zittire i Credenti,信者の沈黙,믿는 자들을 침묵시키다,Silenciar os Crentes,Подавление Верующих,Silenciar a los creyentes
Spiteful Blow,"Spiteful Blow	{4}{B}{B}
Sorcery
Destroy target creature and target land.

",https://scryfall.com/card/jou/83/spiteful-blow,https://cards.scryfall.io/large/front/f/a/fafaa798-e534-4cd0-b369-9e767a02fe3d.jpg?1593095848,怨毒霆击,怨毒霆擊,Coup de dépit,Tückischer Schlag,Colpo Astioso,悪意ある一撃,악의적인 일격,Golpe Malévolo,Злобный Выпад,Impacto malévolo
Squelching Leeches,"Squelching Leeches	{2}{B}{B}
Creature — Leech
Squelching Leeches's power and toughness are each equal to the number of Swamps you control.
*/*
",https://scryfall.com/card/jou/84/squelching-leeches,https://cards.scryfall.io/large/front/6/9/694a0e92-8e5c-404e-a8bb-52139884e41a.jpg?1562229681,吱响蛭群,吱響蛭群,Sangsues grouillantes,Schmatzende Egel,Sanguisughe Sguazzanti,押し潰すヒル,짓누르는 거머리,Sanguessugas Famintas,Хлюпающие Пиявки,Sanguijuelas viscosas
Thoughtrender Lamia,"Thoughtrender Lamia	{4}{B}{B}
Enchantment Creature — Lamia
Constellation — Whenever this creature or another enchantment you control enters, each opponent discards a card.
5/3
",https://scryfall.com/card/jou/85/thoughtrender-lamia,https://cards.scryfall.io/large/front/6/9/69799971-6e24-4b90-ba72-44c6393fc3c4.jpg?1593095866,裂念拉弥亚,裂念拉彌亞,Lamie psychoctome,Geistesriss-Lamia,Lamia Straziamente,精神感化のラミア,생각을 찢는 라미아,Lâmia Enlouquecedora,Раздирающая Мысли Ламия,Lamia arrancarrazón
Tormented Thoughts,"Tormented Thoughts	{2}{B}
Sorcery
As an additional cost to cast this spell, sacrifice a creature.
Target player discards a number of cards equal to the sacrificed creature's power.

",https://scryfall.com/card/jou/86/tormented-thoughts,https://cards.scryfall.io/large/front/6/b/6be2be08-5bad-4813-b6f3-45b564e10b2f.jpg?1562024490,受虐思绪,受虐思緒,Pensées tourmentées,Quälende Gedanken,Pensieri Strazianti,苛まれし思考,고통 받는 생각,Pensamentos Atormentados,Мучительные Мысли,Pensamientos atormentados
Worst Fears,"Worst Fears	{7}{B}
Sorcery
You control target player during that player's next turn. Exile Worst Fears. (You see all cards that player could see and make all decisions for them.)

",https://scryfall.com/card/jou/87/worst-fears,https://cards.scryfall.io/large/front/8/f/8f4e21ac-4f3e-4a3e-83c0-0a59a1b84020.jpg?1593095890,极端恐惧,極端恐懼,Pires craintes,Schlimmste Befürchtungen,Paure Recondite,最悪の恐怖,최악의 공포,Piores Medos,Худшие Страхи,Los más indecibles temores
Akroan Line Breaker,"Akroan Line Breaker	{2}{R}
Creature — Human Warrior
Heroic — Whenever you cast a spell that targets this creature, this creature gets +2/+0 and gains intimidate until end of turn. (It can't be blocked except by artifact creatures and/or creatures that share a color with it.)
2/1
",https://scryfall.com/card/jou/88/akroan-line-breaker,https://cards.scryfall.io/large/front/a/5/a5114db5-b545-43dc-85a3-c0e68ab22a95.jpg?1593095900,阿喀洛斯破阵兵,阿喀洛斯破陣兵,Briseur de ligne akroen,Akroischer Frontbrecher,Spezzaranghi di Akros,アクロスの戦線砕き,아크로스 전열 파괴자,Desformador Acrosano,Прорвавший Строй Акросец,Rompelíneas akroniense
Bearer of the Heavens,"Bearer of the Heavens	{7}{R}
Creature — Giant
When this creature dies, destroy all permanents at the beginning of the next end step.
10/10
",https://scryfall.com/card/jou/89/bearer-of-the-heavens,https://cards.scryfall.io/large/front/0/6/061d9fa5-a8e0-4263-9804-22d648554eba.jpg?1593095908,擎天巨人,擎天巨人,Porteur des Cieux,Träger des Himmels,Caposaldo della Volta Celeste,天を支える者,하늘을 등에 진 거인,Sustentáculo do Firmamento,Подпирающий Небеса,Portador de los cielos
Bladetusk Boar,"Bladetusk Boar	{3}{R}
Creature — Boar
Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
3/2
",https://scryfall.com/card/jou/90/bladetusk-boar,https://cards.scryfall.io/large/front/5/f/5f157fb0-81ac-4108-aafc-7ee81df965a9.jpg?1593095917,刃牙野猪,刃牙野豬,Sanglier lamecroc,Klingenzahn-Keiler,Cinghiale Zannaffilata,刃牙の猪,칼날엄니 멧돼지,Javali Presa de Navalha,Саблезубый Вепрь,Jabalí colmillo afilado
Blinding Flare,"Blinding Flare	{R}
Sorcery
Strive — This spell costs {R} more to cast for each target beyond the first.
Any number of target creatures can't block this turn.

",https://scryfall.com/card/jou/91/blinding-flare,https://cards.scryfall.io/large/front/e/0/e07f43b6-e07f-4d0c-90d2-e5b0d23ba0f9.jpg?1593095924,眩目火光,眩目火光,Flamboiement aveuglant,Blendendes Leuchtfeuer,Bagliore Accecante,眩しい炎,눈이 머는 섬광,Clarão Cegante,Ослепительная Вспышка,Fulgor cegador
Cyclops of Eternal Fury,"Cyclops of Eternal Fury	{4}{R}{R}
Enchantment Creature — Cyclops
Creatures you control have haste.
5/3
",https://scryfall.com/card/jou/92/cyclops-of-eternal-fury,https://cards.scryfall.io/large/front/4/4/44a92b7a-7119-45b3-b9ed-5dbf5abca818.jpg?1593095933,恒怒独眼巨人,恆怒獨眼巨人,Cyclope de la fureur éternelle,Zyklop des ewigen Zorns,Ciclope della Furia Eterna,永遠憤怒のサイクロプス,영원한 분노의 키클롭스,Ciclope da Fúria Eterna,Циклоп Вечной Ярости,Cíclope de la furia eterna
Dictate of the Twin Gods,"Dictate of the Twin Gods	{3}{R}{R}
Enchantment
Flash
If a source would deal damage to a permanent or player, it deals double that damage to that permanent or player instead.

",https://scryfall.com/card/jou/93/dictate-of-the-twin-gods,https://cards.scryfall.io/large/front/6/9/69cc93f2-8198-45b1-9193-7cfd1cf7ced4.jpg?1593095943,双子神的旨意,雙子神的旨意,Précepte des dieux jumeaux,Gebot der Zwillingsgötter,Dettami degli Dei Gemelli,双子神の指図,쌍둥이 신의 규율,Decreto dos Deuses Gêmeos,Веление Богов-Близнецов,Mandato de los dioses gemelos
Eidolon of the Great Revel,"Eidolon of the Great Revel	{R}{R}
Enchantment Creature — Spirit
Whenever a player casts a spell with mana value 3 or less, this creature deals 2 damage to that player.
2/2
",https://scryfall.com/card/jou/94/eidolon-of-the-great-revel,https://cards.scryfall.io/large/front/1/8/183ef738-0559-49ca-85b4-e6836521f203.jpg?1690817860,盛欢幻灵,盛歡幻靈,Eidôlon de la Grande célébration,Eidolon des großen Festes,Apparizione del Gran Baccanale,大歓楽の幻霊,거대한 축제의 에이돌론,Eidolon da Grande Festança,Эйдолон Великой Пирушки,Eidolón del gran festín
Flamespeaker's Will,"Flamespeaker's Will	{R}
Enchantment — Aura
Enchant creature you control
Enchanted creature gets +1/+1.
Whenever enchanted creature deals combat damage to a player, you may sacrifice this Aura. If you do, destroy target artifact.

",https://scryfall.com/card/jou/95/flamespeakers-will,https://cards.scryfall.io/large/front/3/2/32b5e3bb-f9e8-4a74-9798-41d8f8515e12.jpg?1593095961,焰语者的意志,焰語者的意志,Volonté de l'oratrice de feu,Wille der Flammenseherin,Volontà dell'Oratore delle Fiamme,炎語りの意志,화염술사의 의지,Vontade do Flamividente,Воля Огнеречивой,Voluntad del portavoz ígneo
Flurry of Horns,"Flurry of Horns	{4}{R}
Sorcery
Create two 2/3 red Minotaur creature tokens with haste.

",https://scryfall.com/card/jou/96/flurry-of-horns,https://cards.scryfall.io/large/front/b/e/be522ae8-9cf4-4c63-9a1c-0010d482c00a.jpg?1601077696,犄角疾刺,犄角疾刺,Concert de cornes,Hörnerhagel,Raffica di Corna,双角の連続襲撃,뿔 달린 질풍,Comoção de Chifres,Вихрь Рогов,Ráfaga de cuernos
Font of Ire,"Font of Ire	{1}{R}
Enchantment
{3}{R}, Sacrifice this enchantment: It deals 5 damage to target player or planeswalker.

",https://scryfall.com/card/jou/97/font-of-ire,https://cards.scryfall.io/large/front/4/1/41509414-9faf-472d-8d38-391d9594cd56.jpg?1593095981,愤怒洗礼池,憤怒洗禮池,Fontaine d'ire,Quell des Zorns,Fonte della Collera,激憤の泉,분노의 세례반,Fonte da Ira,Источник Гнева,Fuente de la ira
Forgeborn Oreads,"Forgeborn Oreads	{2}{R}{R}
Enchantment Creature — Nymph
Constellation — Whenever this creature or another enchantment you control enters, this creature deals 1 damage to any target.
4/2
",https://scryfall.com/card/jou/98/forgeborn-oreads,https://cards.scryfall.io/large/front/b/8/b80038ed-4206-4e44-943e-f332e4ce2f14.jpg?1593095990,锻生山灵,鍛生山靈,Oréades nées des forges,Schmiedegeborene Oreaden,Oreadi Plasmate nella Forgia,炉生まれのオリアード,용광로에서 태어난 오레아드,Oréades Nascidas da Forja,Рожденные в Горниле Ореады,Oréades nacidas de la forja
Gluttonous Cyclops,"Gluttonous Cyclops	{5}{R}
Creature — Cyclops
{5}{R}{R}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)
5/4
",https://scryfall.com/card/jou/99/gluttonous-cyclops,https://cards.scryfall.io/large/front/e/5/e583f6be-3d78-4085-9059-c3c989a4977f.jpg?1593095999,暴食独眼巨人,暴食獨眼巨人,Cyclope glouton,Gefräßiger Zyklop,Ciclope Ingordo,暴食するサイクロプス,걸신들린 키클롭스,Ciclope Glutão,Прожорливый Циклоп,Cíclope glotón
Harness by Force,"Harness by Force	{1}{R}{R}
Sorcery
Strive — This spell costs {2}{R} more to cast for each target beyond the first.
Gain control of any number of target creatures until end of turn. Untap those creatures. They gain haste until end of turn.

",https://scryfall.com/card/jou/100/harness-by-force,https://cards.scryfall.io/large/front/9/b/9bde89c1-aafa-43d9-adbf-671fa2b52d4f.jpg?1593096006,勇力驯服,勇力馴服,Harnacher par la force,Gewaltsames Einspannen,Imbrigliare con la Forza,力による操縦,힘으로 고삐를 채우다,Dominar à Força,Усмирение Силой,Dominar por la fuerza
Knowledge and Power,"Knowledge and Power	{4}{R}
Enchantment
Whenever you scry, you may pay {2}. If you do, this enchantment deals 2 damage to any target.

",https://scryfall.com/card/jou/101/knowledge-and-power,https://cards.scryfall.io/large/front/7/c/7cd48a18-df3d-4381-a7e7-a3e9ae18d4d7.jpg?1593096016,知识与力量,知識與力量,Savoir et puissance,Wissen und Macht,Conoscenza e Potere,知識と力,지식과 힘,Conhecimento e Poder,Знание и Сила,Conocimiento y poder
Lightning Diadem,"Lightning Diadem	{5}{R}
Enchantment — Aura
Enchant creature
When this Aura enters, it deals 2 damage to any target.
Enchanted creature gets +2/+2.

",https://scryfall.com/card/jou/102/lightning-diadem,https://cards.scryfall.io/large/front/9/2/9223ac16-e6fc-4ba6-91d9-7ff27cc17271.jpg?1601078293,闪电权冠,閃電權冠,Diadème d'éclair,Blitzdiadem,Diadema di Fulmini,稲妻の髪飾り,번개 왕관,Diadema de Raios,Диадема Молний,Diadema de relámpago
Magma Spray,"Magma Spray	{R}
Instant
Magma Spray deals 2 damage to target creature. If that creature would die this turn, exile it instead.

",https://scryfall.com/card/jou/103/magma-spray,https://cards.scryfall.io/large/front/9/8/988a7993-eb7d-4ae2-8a22-1676f517558b.jpg?1543675644,岩浆喷散,岩漿噴散,Giclée de magma,Magmagischt,Spruzzo di Magma,マグマのしぶき,용암 분사,Esguicho de Magma,Выброс Магмы,Rocío de magma
